county_fips,county_name,kmeans_cluster_label
26001,Alcona County,3
26003,Alger County,3
26005,Allegan County,1
26007,Alpena County,3
26009,Antrim County,3
26011,Arenac County,3
26013,Baraga County,3
26015,Barry County,1
26017,Bay County,3
26019,Benzie County,1
26021,Berrien County,0
26023,Branch County,3
26025,Calhoun County,0
26027,Cass County,3
26029,Charlevoix County,1
26031,Cheboygan County,3
26033,Chippewa County,3
26035,Clare County,3
26037,Clinton County,1
26039,Crawford County,3
26041,Delta County,3
26043,Dickinson County,3
26045,Eaton County,1
26047,Emmet County,1
26049,Genesee County,0
26051,Gladwin County,3
26053,Gogebic County,3
26055,Grand Traverse County,1
26057,Gratiot County,3
26059,Hillsdale County,3
26061,Houghton County,0
26063,Huron County,3
26065,Ingham County,4
26067,Ionia County,1
26069,Iosco County,3
26071,Iron County,3
26073,Isabella County,0
26075,Jackson County,0
26077,Kalamazoo County,0
26079,Kalkaska County,3
26081,Kent County,0
26083,Keweenaw County,3
26085,Lake County,3
26087,Lapeer County,1
26089,Leelanau County,1
26091,Lenawee County,1
26093,Livingston County,1
26095,Luce County,3
26097,Mackinac County,3
26099,Macomb County,0
26101,Manistee County,3
26103,Marquette County,3
26105,Mason County,3
26107,Mecosta County,3
26109,Menominee County,3
26111,Midland County,1
26113,Missaukee County,3
26115,Monroe County,1
26117,Montcalm County,3
26119,Montmorency County,3
26121,Muskegon County,0
26123,Newaygo County,3
26125,Oakland County,4
26127,Oceana County,3
26129,Ogemaw County,3
26131,Ontonagon County,3
26133,Osceola County,3
26135,Oscoda County,3
26137,Otsego County,3
26139,Ottawa County,1
26141,Presque Isle County,3
26143,Roscommon County,3
26145,Saginaw County,0
26147,St. Clair County,3
26149,St. Joseph County,0
26151,Sanilac County,3
26153,Schoolcraft County,3
26155,Shiawassee County,3
26157,Tuscola County,3
26159,Van Buren County,0
26161,Washtenaw County,4
26163,Wayne County,0
26165,Wexford County,3
37001,Alamance County,0
37003,Alexander County,3
37005,Alleghany County,3
37007,Anson County,2
37009,Ashe County,3
37011,Avery County,3
37013,Beaufort County,3
37015,Bertie County,2
37017,Bladen County,2
37019,Brunswick County,1
37021,Buncombe County,0
37023,Burke County,3
37025,Cabarrus County,1
37027,Caldwell County,3
37029,Camden County,1
37031,Carteret County,1
37033,Caswell County,2
37035,Catawba County,0
37037,Chatham County,1
37039,Cherokee County,3
37041,Chowan County,2
37043,Clay County,3
37045,Cleveland County,0
37047,Columbus County,2
37049,Craven County,0
37051,Cumberland County,0
37053,Currituck County,1
37055,Dare County,1
37057,Davidson County,0
37059,Davie County,1
37061,Duplin County,2
37063,Durham County,4
37065,Edgecombe County,2
37067,Forsyth County,0
37069,Franklin County,1
37071,Gaston County,0
37073,Gates County,3
37075,Graham County,3
37077,Granville County,0
37079,Greene County,2
37081,Guilford County,0
37083,Halifax County,2
37085,Harnett County,0
37087,Haywood County,3
37089,Henderson County,1
37091,Hertford County,2
37093,Hoke County,0
37095,Hyde County,2
37097,Iredell County,1
37099,Jackson County,0
37101,Johnston County,1
37103,Jones County,3
37105,Lee County,0
37107,Lenoir County,2
37109,Lincoln County,1
37111,McDowell County,3
37113,Macon County,3
37115,Madison County,3
37117,Martin County,2
37119,Mecklenburg County,4
37121,Mitchell County,3
37123,Montgomery County,2
37125,Moore County,1
37127,Nash County,0
37129,New Hanover County,0
37131,Northampton County,2
37133,Onslow County,0
37135,Orange County,4
37137,Pamlico County,3
37139,Pasquotank County,0
37141,Pender County,1
37143,Perquimans County,3
37145,Person County,0
37147,Pitt County,0
37149,Polk County,3
37151,Randolph County,0
37153,Richmond County,2
37155,Robeson County,2
37157,Rockingham County,2
37159,Rowan County,0
37161,Rutherford County,3
37163,Sampson County,2
37165,Scotland County,2
37167,Stanly County,0
37169,Stokes County,3
37171,Surry County,2
37173,Swain County,2
37175,Transylvania County,3
37177,Tyrrell County,2
37179,Union County,1
37181,Vance County,2
37183,Wake County,4
37185,Warren County,2
37187,Washington County,2
37189,Watauga County,0
37191,Wayne County,0
37193,Wilkes County,3
37195,Wilson County,2
37197,Yadkin County,3
37199,Yancey County,3
42001,Adams County,1
42003,Allegheny County,4
42005,Armstrong County,3
42007,Beaver County,3
42009,Bedford County,3
42011,Berks County,0
42013,Blair County,3
42015,Bradford County,3
42017,Bucks County,1
42019,Butler County,1
42021,Cambria County,3
42023,Cameron County,3
42025,Carbon County,3
42027,Centre County,4
42029,Chester County,4
42031,Clarion County,3
42033,Clearfield County,3
42035,Clinton County,3
42037,Columbia County,3
42039,Crawford County,3
42041,Cumberland County,1
42043,Dauphin County,0
42045,Delaware County,4
42047,Elk County,3
42049,Erie County,0
42051,Fayette County,3
42053,Forest County,3
42055,Franklin County,1
42057,Fulton County,3
42059,Greene County,3
42061,Huntingdon County,3
42063,Indiana County,3
42065,Jefferson County,3
