,NAME,Total Population,Pop White Alone,Pop Black Alone,Pop Hispanic or Latino,Median Household Income,Edu Bachelors or Higher,Age 65-66,Age 67-69,Age 70-74,Age 75-79,Age 80-84,Age 85 Plus,Age 18-19,Age 20,Age 21,Age 22-24,Owner Occupied Units,Renter Occupied Units,Foreign Born Pop,state,county,year
0,"Pike County, Pennsylvania",56210.0,50416.0,3259.0,5657.0,61199.0,6187.0,733.0,1178.0,1460.0,909.0,709.0,543.0,761.0,342.0,330.0,1015.0,17793.0,3342.0,1657.0,42,103,2016
1,"Snyder County, Pennsylvania",40246.0,38891.0,394.0,864.0,51110.0,2824.0,375.0,624.0,746.0,592.0,382.0,266.0,916.0,448.0,415.0,677.0,10600.0,3928.0,279.0,42,109,2016
2,"Susquehanna County, Pennsylvania",41832.0,40887.0,235.0,713.0,50160.0,3175.0,578.0,777.0,1047.0,753.0,515.0,279.0,479.0,305.0,247.0,647.0,13345.0,4023.0,292.0,42,115,2016
3,"Crawford County, Pennsylvania",87027.0,83395.0,1646.0,1017.0,45637.0,7481.0,983.0,1652.0,1808.0,1240.0,945.0,682.0,1386.0,660.0,802.0,1289.0,25380.0,9146.0,514.0,42,039,2016
4,"Erie County, Pennsylvania",279133.0,243823.0,19863.0,10844.0,47094.0,33251.0,2914.0,3626.0,4862.0,3530.0,2093.0,2074.0,4723.0,2340.0,2193.0,5977.0,72472.0,37575.0,6942.0,42,049,2016
5,"Fulton County, Pennsylvania",14653.0,14233.0,226.0,158.0,49420.0,838.0,172.0,284.0,378.0,255.0,149.0,105.0,166.0,133.0,114.0,169.0,4689.0,1300.0,25.0,42,057,2016
6,"Juniata County, Pennsylvania",24811.0,23993.0,234.0,766.0,49028.0,1447.0,389.0,498.0,450.0,325.0,301.0,297.0,263.0,115.0,213.0,345.0,7064.0,2262.0,287.0,42,067,2016
7,"Schuylkill County, Pennsylvania",145503.0,136781.0,4038.0,5219.0,46573.0,10232.0,1870.0,2357.0,2917.0,2109.0,1602.0,1304.0,1540.0,994.0,834.0,2634.0,43484.0,14857.0,1447.0,42,107,2016
8,"Wyoming County, Pennsylvania",27975.0,27239.0,249.0,498.0,53397.0,2361.0,376.0,571.0,673.0,371.0,291.0,154.0,440.0,211.0,170.0,552.0,8513.0,2288.0,112.0,42,131,2016
9,"Adams County, Pennsylvania",101759.0,93855.0,1465.0,6721.0,61927.0,9033.0,1223.0,1565.0,2168.0,1504.0,1051.0,898.0,1545.0,738.0,1011.0,1772.0,29759.0,8510.0,2468.0,42,001,2016
10,"Delaware County, Pennsylvania",562316.0,395791.0,118089.0,19528.0,66576.0,80492.0,5345.0,6572.0,8011.0,5748.0,4918.0,4510.0,9245.0,4803.0,4519.0,10811.0,141292.0,62318.0,24193.0,42,045,2016
11,"Somerset County, Pennsylvania",76201.0,72755.0,2074.0,1021.0,45424.0,5746.0,1068.0,1323.0,1672.0,1242.0,843.0,850.0,763.0,578.0,378.0,1444.0,23197.0,6433.0,360.0,42,111,2016
12,"Cameron County, Pennsylvania",4807.0,4702.0,29.0,39.0,40347.0,425.0,92.0,126.0,126.0,74.0,48.0,67.0,45.0,2.0,4.0,114.0,1508.0,679.0,37.0,42,023,2016
